[2018-07-10] | [16:43:46:506] | [info] | sending to window
[2018-07-10] | [16:43:47:501] | [info] | sending to window
[2018-07-10] | [16:44:03:889] | [info] | sending to window
[2018-07-10] | [16:44:04:312] | [info] | sending to window
[2018-07-10] | [16:56:59:110] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:57:55:408] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:01:608] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:08:577] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [17:00:01:195] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-11]  [12:33:56:888]  | [info] |  App starting...
[2018-07-11]  [12:33:56:892]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [12:33:58:824]  | [info] |  sending to window
[2018-07-11]  [12:37:05:109]  | [info] |  App starting...
[2018-07-11]  [12:37:05:113]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [12:37:07:195]  | [info] |  sending to window
[2018-07-11]  [12:38:52:558]  | [info] |  App starting...
[2018-07-11]  [12:38:52:563]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [12:38:55:064]  | [info] |  sending to window
[2018-07-11]  [13:06:47:940]  | [info] |  App starting...
[2018-07-11]  [13:06:47:944]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [13:06:50:287]  | [info] |  sending to window
[2018-07-11]  [13:08:55:593]  | [info] |  App starting...
[2018-07-11]  [13:08:55:597]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [13:08:57:949]  | [info] |  sending to window
[2018-07-11]  [13:11:20:072]  | [info] |  App starting...
[2018-07-11]  [13:11:20:081]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [13:11:22:687]  | [info] |  sending to window
[2018-07-11]  [13:14:51:907]  | [info] |  App starting...
[2018-07-11]  [13:14:51:912]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [13:14:55:582]  | [info] |  sending to window
[2018-07-11]  [13:17:35:067]  | [info] |  App starting...
[2018-07-11]  [13:17:35:070]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [13:17:38:080]  | [info] |  sending to window
[2018-07-11]  [13:21:00:352]  | [info] |  App starting...
[2018-07-11]  [13:21:00:355]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [13:21:02:501]  | [info] |  sending to window
[2018-07-11]  [13:21:10:538]  | [info] |  sending to window
[2018-07-11]  [13:30:18:207]  | [info] |  App starting...
[2018-07-11]  [13:30:18:210]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [13:30:22:482]  | [info] |  sending to window
[2018-07-11]  [14:58:45:903]  | [info] |  App starting...
[2018-07-11]  [14:58:45:909]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [14:58:48:491]  | [info] |  sending to window
[2018-07-11]  [15:10:24:853]  | [info] |  App starting...
[2018-07-11]  [15:10:24:857]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:15:05:776]  | [info] |  App starting...
[2018-07-11]  [15:15:05:781]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:15:46:925]  | [info] |  App starting...
[2018-07-11]  [15:15:46:927]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:15:49:202]  | [info] |  sending to window
[2018-07-11]  [15:25:20:385]  | [info] |  App starting...
[2018-07-11]  [15:25:20:390]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:25:22:548]  | [info] |  sending to window
